Observation_Sorted,Cooks_Distance_Sorted
1,2.8062160486764305e-12
2,2.221782565866497e-08
3,3.101494204057561e-08
4,3.101494204121921e-08
5,3.101494204121921e-08
6,3.101494204121921e-08
7,3.101494204133326e-08
8,3.167606555530707e-08
9,3.3768557999707047e-08
10,3.6320318981953536e-08
11,3.6320318982392524e-08
12,3.6320318982392524e-08
13,3.6320318982392524e-08
14,3.6320318982392524e-08
15,3.632031898265537e-08
16,3.632031898478671e-08
17,4.2699589212820194e-08
18,1.1045513142492537e-07
19,1.1449045005314264e-07
20,1.1449045005314264e-07
21,1.1449045005314264e-07
22,1.2593344069337238e-07
23,1.423226380024394e-07
24,1.5170797981262247e-07
25,1.538079018449278e-07
26,1.6617943410302367e-07
27,1.6617943410302367e-07
28,2.3408157011308546e-07
29,3.217056615706551e-07
30,3.3262021120416336e-07
31,3.924344966299714e-07
32,5.193608474633199e-07
33,5.422566518988269e-07
34,5.422566519454698e-07
35,5.459155278071619e-07
36,6.075387297169134e-07
37,9.042429281178123e-07
38,9.042429281223204e-07
39,9.212187899616091e-07
40,9.769051272630069e-07
41,1.210662973457994e-06
42,1.6165380558160394e-06
43,1.7594963474101137e-06
44,1.8392237026704125e-06
45,1.839223753282183e-06
46,1.8481681761821666e-06
47,1.9779668265380973e-06
48,2.254321135630202e-06
49,2.3425943699140824e-06
50,2.3738298488948796e-06
51,2.5398042959233682e-06
52,2.5523784253147366e-06
53,2.592600881126312e-06
54,2.6289717998388943e-06
55,2.6464839128630415e-06
56,2.821512271897559e-06
57,2.821512271897559e-06
58,2.8608470210260564e-06
59,3.129563582533943e-06
60,3.1377239990958506e-06
61,3.346697231880411e-06
62,3.550546867287953e-06
63,3.550546867287953e-06
64,3.550546867287953e-06
65,3.560184553048233e-06
66,3.5826888799730973e-06
67,3.6279798911059734e-06
68,3.6279798911059734e-06
69,3.797237388700783e-06
70,3.804865392423313e-06
71,3.804865392423313e-06
72,3.804865392423313e-06
73,4.0173157286498716e-06
74,4.0173157286498716e-06
75,4.0173157286498716e-06
76,4.0173157286498716e-06
77,4.0173157286498716e-06
78,4.0173157286498716e-06
79,4.0173157286498716e-06
80,4.021915274870393e-06
81,4.224688508364555e-06
82,4.492782123329158e-06
83,4.492782123717217e-06
84,4.492782123747006e-06
85,4.492782123747783e-06
86,4.492782124620141e-06
87,4.687270831952721e-06
88,4.905615682050319e-06
89,5.0574951978197954e-06
90,5.399748697125561e-06
91,5.772295610886916e-06
92,5.891392698562876e-06
93,6.00028112657798e-06
94,6.090067999465628e-06
95,6.1989740737779885e-06
96,6.243682322181431e-06
97,6.473739914366682e-06
98,6.574212260665042e-06
99,6.7583604236544325e-06
100,6.8352368565907835e-06
101,6.869427631480807e-06
102,6.994138330013448e-06
103,7.131110039613366e-06
104,7.131110039613366e-06
105,7.163354139134139e-06
106,7.243091457938726e-06
107,7.378540735268022e-06
108,7.700248624007869e-06
109,7.737310653165205e-06
110,8.274140895843558e-06
111,8.388095019047535e-06
112,8.62195060439437e-06
113,8.7123312310347e-06
114,8.712331231335534e-06
115,9.572301044711997e-06
116,9.572301044715543e-06
117,9.590927789213095e-06
118,9.993873648674443e-06
119,9.993873648674443e-06
120,1.1238956583064306e-05
121,1.1240461775789069e-05
122,1.1652175683510279e-05
123,1.1652175683510279e-05
124,1.2119179401220285e-05
125,1.2461871438221885e-05
126,1.2582304718956843e-05
127,1.2644945953449418e-05
128,1.2644945953449418e-05
129,1.2896928489621913e-05
130,1.2975221848444797e-05
131,1.2975221848864202e-05
132,1.3209427396233742e-05
133,1.353701909037497e-05
134,1.3670064634785169e-05
135,1.3693351983533502e-05
136,1.381812144613308e-05
137,1.3988905216743779e-05
138,1.407720598870647e-05
139,1.5193385680077424e-05
140,1.5376453701390313e-05
141,1.5442055427564166e-05
142,1.5442055428990396e-05
143,1.5442055429110716e-05
144,1.5442055429623506e-05
145,1.5442055429623506e-05
146,1.5442055429761386e-05
147,1.5639432259992198e-05
148,1.5639432259992198e-05
149,1.576435348455224e-05
150,1.5880923083420655e-05
151,1.5930395853613467e-05
152,1.59720398809583e-05
153,1.6486323464828572e-05
154,1.6486323464828572e-05
155,1.6486323464828572e-05
156,1.6486323464828572e-05
157,1.6486323464828572e-05
158,1.6486323464828572e-05
159,1.6486323464828572e-05
160,1.6486323464828572e-05
161,1.6722451214474184e-05
162,1.6818421448388e-05
163,1.6823941679188174e-05
164,1.7071792785357933e-05
165,1.7081960276658844e-05
166,1.7235640299029167e-05
167,1.751452544745271e-05
168,1.8687833294308504e-05
169,1.8756978663880507e-05
170,1.9471433787137504e-05
171,1.9529785354412385e-05
172,1.9553026947573486e-05
173,1.9553026947573486e-05
174,1.9553026947573486e-05
175,1.9770034019356673e-05
176,1.9770034019356673e-05
177,1.9770034019356673e-05
178,1.9770034019356673e-05
179,1.9770034019356673e-05
180,1.9858542261421538e-05
181,1.9938131330113605e-05
182,2.008583078161894e-05
183,2.034847532581526e-05
184,2.0525886820235394e-05
185,2.0525886820235394e-05
186,2.0566428929622847e-05
187,2.0566428929622847e-05
188,2.0778012086655007e-05
189,2.0952591133849707e-05
190,2.2789775364380524e-05
191,2.2789775364380524e-05
192,2.349638184146297e-05
193,2.3603430231279775e-05
194,2.3656124410846556e-05
195,2.380216287431992e-05
196,2.3948967077978663e-05
197,2.3948967077978663e-05
198,2.4113227988111064e-05
199,2.446211889932541e-05
200,2.4612298498717752e-05
201,2.4734587432182908e-05
202,2.5242015215022344e-05
203,2.5425850718277976e-05
204,2.5891733548361824e-05
205,2.6299619439321224e-05
206,2.6299619439321224e-05
207,2.6811568525266223e-05
208,2.6811568525266223e-05
209,2.7326563597068817e-05
210,2.7326563597068817e-05
211,2.7980055722375773e-05
212,2.8345067799217247e-05
213,2.9170692647473218e-05
214,2.9353997175033313e-05
215,3.0208880911832082e-05
216,3.0332319761635275e-05
217,3.0504631377348005e-05
218,3.1070623719425635e-05
219,3.1496707859933834e-05
220,3.1496707859933834e-05
221,3.153814568259354e-05
222,3.153814568259354e-05
223,3.3082156790683e-05
224,3.391009321404894e-05
225,3.464193102081835e-05
226,3.5305934025144454e-05
227,3.531796341633036e-05
228,3.531796341633036e-05
229,3.531796341633036e-05
230,3.537892874377242e-05
231,3.552010801071503e-05
232,3.5931205770025685e-05
233,3.608263969733304e-05
234,3.732007285698961e-05
235,3.776008039184863e-05
236,3.776008039187848e-05
237,3.793758746695766e-05
238,3.816634857395016e-05
239,3.816634902441422e-05
240,3.86335006213038e-05
241,3.8757298184812266e-05
242,3.875729818834501e-05
243,3.91382660885429e-05
244,3.946983667298469e-05
245,3.9589709079012435e-05
246,4.0144341010411065e-05
247,4.0144341010411065e-05
248,4.021290709217486e-05
249,4.0387517332401985e-05
250,4.0553303569875823e-05
251,4.1006635085595536e-05
252,4.113843160406186e-05
253,4.1197778492033e-05
254,4.165661534956406e-05
255,4.165661534956406e-05
256,4.165661534956406e-05
257,4.165661534956406e-05
258,4.1732907153679655e-05
259,4.210798388124494e-05
260,4.235251112624886e-05
261,4.270860706384334e-05
262,4.405858474519143e-05
263,4.4137556008214324e-05
264,4.4277627456683145e-05
265,4.459799088630875e-05
266,4.486395460031815e-05
267,4.495416137690645e-05
268,4.5146882071675566e-05
269,4.538050742294184e-05
270,4.6186473500769783e-05
271,4.6186473500769783e-05
272,4.6186473500769783e-05
273,4.618647350080917e-05
274,4.6278239648990905e-05
275,4.6420433879982275e-05
276,4.8336888502284895e-05
277,4.8343820674644555e-05
278,4.901798304969164e-05
279,4.942643856789007e-05
280,4.953041958867208e-05
281,4.964545317385689e-05
282,5.090612169454849e-05
283,5.142482523620709e-05
284,5.2761682152038515e-05
285,5.4189928876863805e-05
286,5.4593462629431865e-05
287,5.512392536670244e-05
288,5.607143219850079e-05
289,5.621653485504896e-05
290,5.621653485504896e-05
291,5.668535038629338e-05
292,5.668535038629338e-05
293,5.7531692350770155e-05
294,5.78810061512769e-05
295,5.9348316717716725e-05
296,5.953918303922836e-05
297,6.0471637825098345e-05
298,6.116446473609492e-05
299,6.182244143512643e-05
300,6.259926244031702e-05
301,6.262449893543556e-05
302,6.321321495812364e-05
303,6.431862275916969e-05
304,6.454796741635802e-05
305,6.688701657601305e-05
306,6.855263552779478e-05
307,6.987387828034918e-05
308,6.987387828034918e-05
309,7.006944652240606e-05
310,7.009868331416669e-05
311,7.166439449709906e-05
312,7.166439449709906e-05
313,7.246828805678436e-05
314,7.246828805678436e-05
315,7.246828805678436e-05
316,7.282212906199567e-05
317,7.283489816250181e-05
318,7.401747671536803e-05
319,7.409745368596967e-05
320,7.557984747740495e-05
321,7.614870889066389e-05
322,7.619406915952192e-05
323,7.625423815317285e-05
324,7.626708316045996e-05
325,7.666855964923919e-05
326,7.721119811141535e-05
327,7.847923645655183e-05
328,7.893894409731727e-05
329,7.924382184326193e-05
330,7.94202482893425e-05
331,8.048701648123218e-05
332,8.101660242686756e-05
333,8.101660242740917e-05
334,8.224392470232435e-05
335,8.298354338881341e-05
336,8.298354338881341e-05
337,8.424686805051339e-05
338,8.47544723395021e-05
339,8.47544723395021e-05
340,8.47544723395021e-05
341,8.478670515210944e-05
342,8.49527915850704e-05
343,8.579582466926266e-05
344,8.579582466926266e-05
345,8.579582466926266e-05
346,8.598108526064195e-05
347,8.725380881241776e-05
348,8.725380881440168e-05
349,8.790986543488085e-05
350,8.836243713385657e-05
351,8.839443023964515e-05
352,8.921792254929085e-05
353,8.921792254929085e-05
354,8.921792254929085e-05
355,9.025493080546045e-05
356,9.041786025608116e-05
357,9.218694271634387e-05
358,9.265616966184472e-05
359,9.265877825762126e-05
360,9.304144148704303e-05
361,9.394199719986352e-05
362,9.489571639422543e-05
363,9.511953612305431e-05
364,9.57491094348677e-05
365,9.594992955931488e-05
366,9.617614176521758e-05
367,9.668729426668618e-05
368,9.724615905609577e-05
369,9.879371284658727e-05
370,9.879371284658727e-05
371,0.00010010854390977186
372,0.00010072929378936183
373,0.00010079221170272076
374,0.00010164806496196989
375,0.00010164806496196989
376,0.00010346012261609585
377,0.00010392308011343268
378,0.000103942021483956
379,0.00010417263590005523
380,0.00010502226256958548
381,0.00010586853226244046
382,0.00010681435753131224
383,0.00010837917391792744
384,0.00010860919508716753
385,0.00010916032109990726
386,0.00010916032109990726
387,0.00010916032109990726
388,0.00010916032109990726
389,0.00010916032109990726
390,0.00011003120943617208
391,0.00011059364111221283
392,0.00011145920629701807
393,0.00011145920629701807
394,0.00011161412156389001
395,0.00011169787872617502
396,0.00011310014853192784
397,0.00011349793559549577
398,0.00011349793559549577
399,0.00011422632059940118
400,0.00011422632059940118
401,0.0001161905769224918
402,0.00011619057694011844
403,0.00011877077037817558
404,0.00011881806211257746
405,0.00012096723014106584
406,0.00012131385520070651
407,0.00012478174431995056
408,0.0001249447447213417
409,0.00012746018564028293
410,0.00012798667163187811
411,0.0001309460965922392
412,0.0001309460965922392
413,0.00013404779554134535
414,0.0001341468798848061
415,0.0001364581932544292
416,0.0001364581932544292
417,0.0001372970434918091
418,0.00013846925366825055
419,0.0001393637510768194
420,0.00014081978079366907
421,0.00014081978079366907
422,0.00014081978079366907
423,0.00014081978079366907
424,0.00014181466967303258
425,0.0001433209140191261
426,0.0001433209140191261
427,0.00014443794624701678
428,0.00014449306568603497
429,0.00014531717644485618
430,0.0001453441411811573
431,0.000145969042851391
432,0.00014608651357228525
433,0.00014620748055715112
434,0.0001467119290147483
435,0.00014758100663510003
436,0.00014998338779940087
437,0.0001518350431026298
438,0.00015376520165995738
439,0.00015376520165995738
440,0.00015376520165995738
441,0.0001541135378255751
442,0.00015568661845825215
443,0.00015718290905262694
444,0.00015719193471827454
445,0.0001574830274706221
446,0.000158704885782371
447,0.0001595866285185938
448,0.00016063696561813195
449,0.0001607510777380868
450,0.00016120421782129347
451,0.00016279512395078063
452,0.00016285645337790202
453,0.00016335460005026842
454,0.00016411166111819788
455,0.00016454919613898708
456,0.0001648934714788413
457,0.0001659940699718048
458,0.0001670705029664191
459,0.00016781662294779366
460,0.00016781662294779366
461,0.00016781662294779366
462,0.00016781662294779366
463,0.00016781662294779366
464,0.00016781662294779366
465,0.00016781662294779366
466,0.00016968259143635577
467,0.0001697788998827597
468,0.0001697788998827597
469,0.0001697788998827597
470,0.0001697788998827597
471,0.00017049181006504314
472,0.00017049181006504314
473,0.00017212676906587434
474,0.00017575861818366082
475,0.00017585536835493563
476,0.0001796765996384848
477,0.0001807414820764294
478,0.000180982009307705
479,0.0001814575967777519
480,0.0001817773996878513
481,0.00018225358284888678
482,0.00018225358284888678
483,0.00018225358284888678
484,0.0001839947272111489
485,0.0001839947272111489
486,0.00018423168058470877
487,0.00018616645683224305
488,0.0001863126633039026
489,0.0001863126633039026
490,0.0001864436179793932
491,0.0001879234560373468
492,0.0001879234560373468
493,0.0001879234560373468
494,0.0001884572130561237
495,0.00018897288144046007
496,0.0001892663765418765
497,0.00018958584362553565
498,0.00019047674897261133
499,0.00019205177231698743
500,0.00019255475466880466
501,0.0001964666698675821
502,0.00019702550921247262
503,0.0001993620991596816
504,0.0001996526191324816
505,0.00020055984510666605
506,0.00020134182645757703
507,0.00020964397466012797
508,0.00021057010869573027
509,0.0002132600244472929
510,0.00021524123672548432
511,0.00021547580362792112
512,0.00021769147249686547
513,0.000218690207822016
514,0.00022267273609097914
515,0.00022305282476733438
516,0.00022897043460794485
517,0.00023105915686291525
518,0.00023127481804528373
519,0.00023131145660992765
520,0.00023461658456003484
521,0.00023507582252254832
522,0.00023689182783772912
523,0.00023733958150885155
524,0.0002380247373446694
525,0.00023832297260583388
526,0.0002430268918893937
527,0.0002435202058273712
528,0.0002462948736100191
529,0.0002473182685400309
530,0.0002523108525649443
531,0.00025391987382406407
532,0.0002552180495158147
533,0.00025892721767267247
534,0.0002589287642229976
535,0.00025991900491093445
536,0.0002622226439456977
537,0.0002622226439456977
538,0.0002628262608619721
539,0.00026320800902781194
540,0.000264303802654515
541,0.00026497629132659267
542,0.00026497629132659267
543,0.0002673528688927952
544,0.00026840774243383546
545,0.0002712069369033556
546,0.00027221018235707605
547,0.0002726705641705345
548,0.00027301286988294253
549,0.0002772706335612188
550,0.00027920273519043136
551,0.00028309914428977857
552,0.0002835039523741336
553,0.0002876090731931142
554,0.0002897968176359407
555,0.0002972921598824817
556,0.0003012418666662933
557,0.0003012418666662933
558,0.0003077201763408635
559,0.0003078341176394977
560,0.00030991089378411084
561,0.0003123028109016511
562,0.0003171635634788683
563,0.00031854744785961536
564,0.0003205386015111146
565,0.0003225441315815351
566,0.0003225441315815351
567,0.0003225441315815351
568,0.00032491841087552213
569,0.00033138131310230364
570,0.00033138131310230364
571,0.00033188377816480673
572,0.00033313140680881143
573,0.00033582822954718436
574,0.00034018238897003263
575,0.00034305030033426507
576,0.0003434975576485603
577,0.0003460799459645451
578,0.0003490772641025602
579,0.0003500082844176493
580,0.0003547193470449708
581,0.0003585739216758295
582,0.00036630404726203063
583,0.0003665819096388281
584,0.000367363069056485
585,0.00036803882929988907
586,0.00037175742398965085
587,0.00037272072197517
588,0.000378879632074758
589,0.0003814876123919049
590,0.0003814876123919049
591,0.0003856926018816531
592,0.0003874497566549323
593,0.00038847715263862453
594,0.00038932270621418993
595,0.00039043130927912797
596,0.0003914802137694565
597,0.0003918669570996652
598,0.0003930863532775969
599,0.0003963097896081657
600,0.0003963097896149887
601,0.00039630978962144485
602,0.00039998036938563403
603,0.0004010632208623179
604,0.0004019126005547666
605,0.0004039314973644146
606,0.0004039797107616145
607,0.0004039797107616145
608,0.0004042544171384915
609,0.0004045727730098282
610,0.0004143584131901898
611,0.00042155157815650937
612,0.00042331578502792494
613,0.00042552552789529524
614,0.00042552552789529524
615,0.00042552552789529524
616,0.00042944216519200925
617,0.00043228907505325797
618,0.00043564167668968043
619,0.00043736311075540807
620,0.0004519686823271931
621,0.00045662238606683535
622,0.0004568104758723575
623,0.00045730537141376793
624,0.00046510018464857337
625,0.00048121816192986584
626,0.00048523202451711245
627,0.0004885982602584222
628,0.0004942029443084289
629,0.0004962568094654126
630,0.0005009361444588524
631,0.0005048757723716335
632,0.0005050780102490637
633,0.000505513318218708
634,0.0005056103337787574
635,0.000505827286116898
636,0.0005145961857394755
637,0.0005190348441830962
638,0.0005204551217508845
639,0.0005209935176235848
640,0.0005211965193004077
641,0.0005234166071689405
642,0.0005277788369319991
643,0.0005286906570488917
644,0.0005311079489274193
645,0.0005311079489274193
646,0.0005414119958643716
647,0.0005420465936564914
648,0.0005420503075299297
649,0.0005441496630144128
650,0.0005450470690015423
651,0.0005460040815197071
652,0.0005460040815197071
653,0.0005541585938789028
654,0.0005599793841983905
655,0.0005617403846960798
656,0.0005726341236807102
657,0.0005740345184591739
658,0.0005753347476345303
659,0.0005769658556670877
660,0.0005847132113234322
661,0.0005877511536241738
662,0.0005891406040851577
663,0.0005898930531505683
664,0.0005898930531505683
665,0.0005918155877406353
666,0.0005921024866481611
667,0.0005937804993744143
668,0.0005973913376030712
669,0.0005973913376030712
670,0.0005979189902848241
671,0.0005979189902848241
672,0.0006090930957203226
673,0.0006090930957203226
674,0.0006090930957203226
675,0.0006132994386782658
676,0.0006237410307989075
677,0.0006509579842614409
678,0.0006542430657229233
679,0.0006640923774422907
680,0.0006651412000703844
681,0.0006662006309312988
682,0.0006662006311172138
683,0.0006729410816485511
684,0.0006729410816485511
685,0.0006773641895470849
686,0.0006782710689247781
687,0.0006813637616633644
688,0.000701917087599609
689,0.0007224254621085841
690,0.0007231366460608077
691,0.0007237949294349403
692,0.0007281920305742753
693,0.0007285423904614274
694,0.0007396022403146249
695,0.0007404631087787849
696,0.0007429815038977827
697,0.0007489562238176336
698,0.000764065569018626
699,0.0007650942412542053
700,0.0007692286456225453
701,0.0007762735884935413
702,0.0007785465205816455
703,0.0007791507004091746
704,0.0007801572900278948
705,0.0007838274115091268
706,0.0007838274115091268
707,0.0007847208351022346
708,0.0007913676449600028
709,0.0007918395608597742
710,0.0007926982498032393
711,0.0008003076479592921
712,0.0008020422611344777
713,0.0008086845624975273
714,0.000818102022127414
715,0.0008207959174353528
716,0.0008324235787049072
717,0.0008348315629980036
718,0.0008369963760322682
719,0.0008512859684970595
720,0.0008630047320956644
721,0.0008659739653570803
722,0.0008671616782047763
723,0.0008690740709445954
724,0.0008880298818944964
725,0.000894965143584394
726,0.0009184516779430355
727,0.0009184516780502108
728,0.0009522306099115621
729,0.0009525893309078874
730,0.0009537072673893734
731,0.0009537072673893734
732,0.0009783058314961743
733,0.0009837426840523967
734,0.0009856403033514506
735,0.000994852104616548
736,0.001002418292857556
737,0.0010088043256832504
738,0.0010117922589898936
739,0.001013161076139035
740,0.0010140055590191449
741,0.0010183803977950494
742,0.0010183803977950494
743,0.001029579817108022
744,0.0010457103931704164
745,0.0010550896363351408
746,0.0010562435612677466
747,0.0010562435617972623
748,0.001066865396458445
749,0.0010718717582716647
750,0.0010821464926159647
751,0.0010838428029227036
752,0.0010965203376710148
753,0.0011062561676976404
754,0.0011180497795882387
755,0.0011303224990952703
756,0.0011333301145961035
757,0.001148551110127016
758,0.001161825722314367
759,0.0011660474929847033
760,0.0011817935323951614
761,0.001194865270818974
762,0.001210630304738897
763,0.0012266422405080059
764,0.0012582616118339022
765,0.0012775819076250965
766,0.001288945619304323
767,0.001298246279381211
768,0.0013569141360144838
769,0.0013834265690819362
770,0.0014223404580576055
771,0.0014267239639566619
772,0.001427468724742194
773,0.0014284815979376155
774,0.0014389734921900462
775,0.0014485994292786552
776,0.0014600315039601974
777,0.0014807694658499446
778,0.001517596063517579
779,0.0015256231783908683
780,0.0015482772369865847
781,0.0015621295910677052
782,0.001568902742806222
783,0.001586905663253883
784,0.001665343861496468
785,0.0016797838557796347
786,0.0017212539552392103
787,0.001727721242998362
788,0.001728752295788199
789,0.001758468080579384
790,0.0017821902281634635
791,0.0017878984690713595
792,0.0017913081049635619
793,0.001791434402660357
794,0.0017978189052409185
795,0.0018338326298432482
796,0.001846161770617388
797,0.0018495722740201903
798,0.0018606121299425786
799,0.0018627880415091136
800,0.001984939502935322
801,0.0020704988061448263
802,0.0020795915851643653
803,0.0021327955376883017
804,0.00216360905093307
805,0.0022230667150927043
806,0.0023109951650487006
807,0.002336823598028704
808,0.002381848837401774
809,0.002412785362491483
810,0.0024127853668364924
811,0.0025320215663015284
812,0.002546443962369536
813,0.002573907705247082
814,0.0025763254690314725
815,0.0025999912849173886
816,0.002701611964512266
817,0.0027155868875697762
818,0.0031090445755247377
819,0.0032834590051648853
820,0.0033803117535875066
821,0.003439175901089526
822,0.003494528394093106
823,0.0036249144985105184
824,0.003707484581788859
825,0.0037313388020566427
826,0.0037644697651139066
827,0.003824978296021644
828,0.0039977540161975
829,0.0039977540161975
830,0.00401575570584421
831,0.004099685731776813
832,0.004321206686558121
833,0.004511912971356572
834,0.00455891906770058
835,0.004558919072169427
836,0.004716294420828892
837,0.004745662798538691
838,0.004745662798538691
839,0.005321858109019746
840,0.0054851367419518245
841,0.005860914956808458
842,0.0063774258702880265
843,0.006398203148309853
844,0.007079990645271872
845,0.007313175541238379
846,0.007581062982732709
847,0.0076642830555652955
848,0.007996040851101326
849,0.009128491153157564
850,0.009367595554916841
851,0.009398072372801911
852,0.00950256068599502
853,0.01096889544391286
854,0.011261021718850352
855,0.0113467538577409
856,0.011454996836144864
857,0.011847666780260337
858,0.012033755360302777
859,0.013170856170052456
860,0.013322821751713582
861,0.013762487401041034
862,0.014791756393719376
863,0.014930295952683411
864,0.015974538432466014
865,0.016359911794213013
866,0.01799105044248216
867,0.019965716212252908
868,0.025586104857448982
869,0.026563465302927754
870,0.02976623560809944
871,0.037821539497381096
872,0.03782153977030501
873,0.04762890051850703
874,0.0803480821805907
875,0.08034808222681282
876,0.20264276281794824
877,1125.3296822875202
878,1515.7149997749655
879,7307.52571436588
880,27111.55666883022
881,106732.55022898524
882,
883,
884,
885,
886,
887,
888,
